index,num_countries,num_institutions,num_datasets_total,num_datasets_filtered,num_total,num_children,perc_children
Dataset Collections,34,227,941,601,257234,7181,2.79
Collection openneuro_parsed,32,175,835,521,26157,3138,12.0
Collection tcia,11,61,69,51,42145,478,1.14
Collection midrc_parsed,1,3,24,19,77565,1468,1.89
Collection stanford_aimi,1,2,13,10,111368,2096,1.88
ML Challenges,28,106,59,30,155882,212,0.14
Highly-Cited Datasets,14,41,30,19,235478,1888,0.8
ML Benchmarks,14,39,18,15,142721,83,0.06
Benchmarks (MSD),11,30,10,7,2013,0,0.0
Benchmarks (MedFAIR),4,10,7,7,140108,76,0.05
Benchmarks (AMOS),1,2,1,1,600,6,1.1
Total,46,345,1039,657,593464,9164,1.54
Total w/o Cancer,45,270,935,587,489337,9021,1.84
